词,权值
否定,-1
非,-1
不,-1
别,-1
甭,-1
未,-1
莫,-1
勿,-1
白,-1
忌,-1
弗,-1
否,-1
休,-1
没,-1
没有,-1
不要,-1
不是,-1
不用,-1
不必,-1
不曾,-1
白搭,-1
无须,-1
并非,-1
毫无,-1
决不,-1
休想,-1
永不,-1
未尝,-1
从不,-1
从未,-1
未必,-1
未曾,-1
未能,-1
难以,-1
尚未,-1
从没,-1
绝非,-1
远非,-1
切莫,-1
切勿,-1
禁止,-1
拒绝,-1
杜绝,-1
弗有,-1
休要,-1
木有,-1
白白,-1
否定,-1
否认,-1
否决,-1
抹煞,-1
抹杀,-1
抹掉,-1
一无所获,-1
无用,-1
勿用,-1
不及,-1
不如,-1
